subid,RT,BaselineOnset,Onset,NaviOnset,EndingOnset,Steps,Choice,Distance_OA,Distance_OB,Distance_OC,Distance_AB,Distance_BC,Distance_AC,cos_ABC,cos_AOB,cos_BOC
16,3.2607974,115.8467335,116.8919241,121.789498,123.289498,5,A,3.605551275,3.605551275,3.16227766,1.414213562,2.236067977,1,0.948683298,0.923076923,0.789352217
16,2.3149363,123.7901335,124.813176,128.750927,130.250927,6,C,7.810249676,7.810249676,5.656854249,1.414213562,2.236067977,2.236067977,0.316227766,0.983606557,0.995893206
16,1.7478393,130.7510095,131.7724713,134.6125685,136.1125685,7,C,9.219544457,2.236067977,7.071067812,7.071067812,5,5,0.707106781,0.9701425,0.948683298
16,1.5647551,136.6125349,137.6350863,141.4071913,142.9071913,10,A,8.062257748,4.123105626,8.485281374,4.242640687,5.385164807,2.236067977,0.91914503,0.96265094,0.857492926
16,1.0406002,143.407183,144.416276,146.536012,148.036012,7,C,2.236067977,9.219544457,7.071067812,7.071067812,6.08276253,6.08276253,0.581238194,0.9701425,0.751625689
16,1.6059862,148.5362479,149.5461793,153.0307757,154.5307757,8,A,6.08276253,7.280109889,6,1.414213562,2.236067977,1,0.948683298,0.993605255,0.961523948
16,1.4580886,155.0310667,156.0543811,159.808477,161.308477,6,A,4.123105626,8.062257748,2.828427125,4.242640687,5.385164807,2.236067977,0.91914503,0.96265094,0.964763821
16,1.4492003,161.8078742,162.8145138,166.9191532,168.4191532,4,A,3.16227766,3.16227766,2.236067977,2.828427125,1,2.236067977,0.707106781,0.6,0.989949494
16,0.7684055,168.9192536,169.9276991,171.8984857,173.3984857,7,C,4.123105626,8.062257748,7.071067812,4.242640687,3,3,0.707106781,0.96265094,0.9296815
16,1.6244066,173.8985712,174.9193375,180.4580191,181.9580191,10,A,8.94427191,8.94427191,10,5.656854249,2,4.472135955,0.707106781,0.8,0.98386991
16,1.2421111,182.4581048,183.4696787,186.2032172,187.7032172,4,A,4.472135955,4.472135955,6.708203932,2.828427125,4.123105626,2.236067977,0.857492926,0.8,0.8
16,0.8631912,188.2039624,189.2166301,190.9158328,192.4158328,1,A,2,10,5,8.485281374,6.708203932,3,0.948683298,0.8,0.8
16,1.3265825,192.9164348,193.9381585,198.2768972,199.7768972,12,A,8.544003745,5,8.062257748,4.242640687,3.16227766,2,0.894427191,0.936329178,0.992277877
16,0.9470852,200.276765,201.2848865,207.5022555,209.0022555,12,B,5.385164807,6.708203932,7.615773106,1.414213562,1,2.236067977,-0.707106781,0.996545758,0.998274373
16,0.988155,209.5021752,210.5157668,215.0301001,216.5301001,11,C,8.485281374,2.828427125,7.071067812,5.656854249,5.099019514,5.099019514,0.554700196,1,0.8
16,2.0915722,217.0294686,218.0368564,222.0907286,223.5907286,9,A,6.08276253,6.08276253,4.123105626,7.071067812,5.830951895,2,0.9701425,0.324324324,0.398726111
16,1.0294195,224.0907284,225.0986996,231.3330056,232.8330056,5,C,7.211102551,7.810249676,3.605551275,2.236067977,4.242640687,4.123105626,0.316227766,0.958798113,0.994309154
16,2.124183,233.3332301,234.3567146,239.2263593,240.7263593,6,A,3,9.433981132,8.94427191,7.071067812,1,6.403124237,0.707106781,0.847998304,0.995495473
16,1.4376523,241.2264376,242.2345695,246.1209025,247.6209025,9,A,8.544003745,8.544003745,8.94427191,7.071067812,6.403124237,1,0.993883735,0.657534247,0.732793492
16,1.3310265,248.1210934,249.1409812,253.0315332,254.5315332,8,A,7.071067812,7.211102551,8.062257748,1.414213562,1,2.236067977,-0.707106781,0.980580676,0.997630328
16,1.4277082,255.0319311,256.036726,259.8926588,261.3926588,8,C,4,8.94427191,7.280109889,5.656854249,6.708203932,7.280109889,0.316227766,0.894427191,0.675724629
16,1.1278248,261.8933799,262.9042033,266.5036397,268.0036397,6,A,3.605551275,6.403124237,2,2.828427125,5.385164807,3,0.91914503,0.996240588,0.624695048
16,1.660648,268.5041743,269.5240834,273.1647908,274.6647908,7,A,4.472135955,6.708203932,4,2.236067977,3.605551275,2,0.868243142,1,0.894427191
16,0.9793649,275.1656562,276.1883891,277.4448356,278.9448356,2,A,3,9.433981132,8.94427191,7.071067812,1,6.403124237,0.707106781,0.847998304,0.995495473
16,2.8736291,279.4449809,280.4543511,285.0219994,286.5219994,4,A,4.472135955,4.472135955,6.708203932,2.828427125,4.123105626,2.236067977,0.857492926,0.8,0.8
16,1.1944712,287.0221214,288.0294715,293.032379,294.532379,10,A,5,6.403124237,7.211102551,1.414213562,1,2.236067977,-0.707106781,0.999512076,0.996240588
16,1.9485862,295.0324431,296.0434934,300.0095918,301.5095918,7,A,5.830951895,4.472135955,6.708203932,1.414213562,2.236067977,1,0.948683298,0.997054486,1
16,1.3572379,302.0099366,303.0190826,310.2181497,311.7181497,10,A,6.708203932,5.385164807,7.615773106,1.414213562,2.236067977,1,0.948683298,0.996545758,0.999702691
16,1.3812506,312.2182702,313.2267744,316.6959714,318.1959714,9,A,6.708203932,6.403124237,5.099019514,2.828427125,3,5.385164807,-0.707106781,0.907959385,0.888217643
16,1.6078638,318.6957031,319.7045417,325.9386989,327.4386989,11,A,7.280109889,7.280109889,7.071067812,7.071067812,7.810249676,1,0.995893206,0.528301887,0.407940062
16,0.9458326,327.9385915,328.9585463,330.4186038,331.9186038,3,A,3,3,1,4.242640687,2,3.16227766,0.707106781,1.97E-16,1
16,0.8370993,332.4182275,333.4265537,336.9297408,338.4297408,10,A,8.062257748,4.123105626,8.94427191,4.242640687,5,1,0.989949494,0.96265094,0.97618706
16,1.8121759,338.9454975,339.9556259,343.8238167,345.3238167,9,A,4.472135955,6.708203932,8.544003745,2.236067977,2,4.123105626,-0.894427191,1,0.994505453
16,0.9090578,345.8239167,346.8351465,348.7364571,350.2364571,5,A,4.123105626,4.123105626,4,4.242640687,1,5,-0.707106781,0.470588235,0.9701425
16,1.5674935,350.7363842,351.744498,354.3812308,355.8812308,6,A,5,6.403124237,7.211102551,1.414213562,1,2.236067977,-0.707106781,0.999512076,0.996240588
16,1.484987,356.3817346,357.3870129,362.0253988,363.5253988,12,A,9.219544457,2.236067977,9.899494937,7.071067812,7.810249676,1,0.995893206,0.9701425,0.948683298
16,0.9818996,364.0255771,365.0339883,368.3199191,369.8199191,6,A,6.32455532,6.32455532,7.280109889,5.656854249,6.403124237,1,0.993883735,0.6,0.564683916
16,1.1724293,370.3201544,371.3395211,374.2158234,375.7158234,4,A,2.236067977,9.219544457,8.062257748,7.071067812,2,5.830951895,0.707106781,0.9701425,0.982102279
16,1.4871564,376.2156011,377.2251809,380.9771133,382.4771133,14,C,6,6,9.899494937,8.485281374,7.071067812,7.071067812,0.6,1.97E-16,0.707106781
16,1.0868386,382.976776,383.9851814,387.8040206,389.3040206,7,A,5.099019514,7.615773106,6.08276253,2.828427125,2.236067977,1,0.948683298,0.978549785,0.971399006
16,1.3718359,389.8043012,390.8118426,395.6143852,397.1143852,12,C,7.615773106,5.099019514,6.708203932,2.828427125,5.385164807,5,0.393919299,0.978549785,0.613940614
16,0.7776849,397.6147448,398.6221919,401.0598789,402.5598789,3,A,4,8.94427191,6,5.656854249,4.472135955,2,0.948683298,0.894427191,0.894427191
16,1.0191065,403.0603106,404.0694767,409.0039009,410.5039009,11,A,5,5,4.472135955,1.414213562,2.236067977,1,0.948683298,0.96,0.894427191
16,1.0991825,411.0035076,412.0127972,415.5313143,417.0313143,8,A,4.472135955,3.605551275,3,2.236067977,2,4.123105626,-0.894427191,0.868243142,0.832050294
16,0.8906653,417.5316507,418.5409715,420.6442717,422.1442717,4,A,3.605551275,7.810249676,9.433981132,4.242640687,2,5.830951895,-0.707106781,0.994309154,0.990747395
16,0.7385153,422.6442547,423.6614669,427.471438,428.971438,11,C,6.08276253,7.280109889,6.32455532,1.414213562,1,1,0.707106781,0.993605255,0.999056158
16,0.7679275,429.4715924,430.4800564,434.7655046,436.2655046,7,A,2.236067977,2.236067977,2,1.414213562,1,2.236067977,-0.707106781,0.8,0.894427191
16,1.6366198,436.7657922,437.7790135,441.6598854,443.1598854,10,A,8.062257748,4.123105626,2.828427125,4.242640687,2.236067977,5.385164807,-0.316227766,0.96265094,0.857492926
16,1.2516066,443.6602406,444.6683593,449.3369499,450.8369499,13,A,8.94427191,4,8.246211251,5.656854249,4.472135955,2,0.948683298,0.894427191,0.9701425
16,1.550908,451.3370254,452.3451476,454.9655352,456.4655352,4,A,5,8.544003745,8.062257748,4.242640687,2,3.16227766,0.707106781,0.936329178,0.972650231
16,1.3079623,456.965558,457.9728891,461.2938491,462.7938491,9,A,8.062257748,8.062257748,8.94427191,4.242640687,1,5,-0.707106781,0.861538462,0.998460353
16,0.9708216,463.2932022,464.3015216,467.5052724,469.0052724,9,A,7.615773106,5.099019514,6.08276253,2.828427125,1,2.236067977,0.707106781,0.978549785,0.999480114
16,1.1252353,469.5054983,470.5147038,475.931758,477.431758,14,A,8.602325267,8.602325267,9.219544457,2.828427125,2.236067977,1,0.948683298,0.945945946,0.970879659
16,0.8950752,477.9319553,478.9533257,483.5090518,485.0090518,11,A,8.485281374,2.828427125,2.236067977,5.656854249,1,6.403124237,-0.707106781,1,0.948683298
16,1.0753683,485.5093167,486.5331076,489.5539803,491.0539803,10,A,7.810249676,3.605551275,3,4.242640687,2,5.830951895,-0.707106781,0.994309154,0.832050294
16,1.2715079,491.5541695,492.5764389,495.9315862,497.4315862,8,A,7.071067812,7.211102551,7.810249676,1.414213562,2.236067977,1,0.948683298,0.980580676,0.958798113
16,0.6023073,497.932304,498.9416452,501.9609277,503.4609277,8,A,6.708203932,5.385164807,5.099019514,1.414213562,1,2.236067977,-0.707106781,0.996545758,0.983282005
16,0.8448761,503.9603629,504.9710914,508.6545719,510.1545719,12,A,4.242640687,4.472135955,4.123105626,1.414213562,1,2.236067977,-0.707106781,0.948683298,0.97618706
16,1.0146712,510.6550707,511.6650102,514.3505839,515.8505839,4,A,2.236067977,9.219544457,9.899494937,7.071067812,1,7.810249676,-0.707106781,0.9701425,0.997054486
16,1.0711548,516.3502468,517.608511,522.2604475,523.7604475,14,A,8.062257748,4.123105626,8.94427191,4.242640687,5,1,0.989949494,0.96265094,0.97618706
16,0.7701698,524.2605896,525.2701048,528.8215936,530.3215936,7,A,6.708203932,6.708203932,8.544003745,4.242640687,5.830951895,2,0.9701425,0.8,0.732793492
